issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,12100.0,12100.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_020,HDF_HDFC_Infin_020,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15700.0,15700.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_021,HDF_HDFC_Infin_021,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,11000.0,11000.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_022,HDF_HDFC_Infin_022,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,10800.0,10800.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_023,HDF_HDFC_Infin_023,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14900.0,14900.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_024,HDF_HDFC_Infin_024,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14200.0,14200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_025,HDF_HDFC_Infin_025,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,10400.0,10400.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_026,HDF_HDFC_Infin_026,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14300.0,14300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_027,HDF_HDFC_Infin_027,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16800.0,16800.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_028,HDF_HDFC_Infin_028,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15400.0,15400.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_029,HDF_HDFC_Infin_029,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15300.0,15300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_030,HDF_HDFC_Infin_030,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,17300.0,17300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_031,HDF_HDFC_Infin_031,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14400.0,14400.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_032,HDF_HDFC_Infin_032,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16800.0,16800.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_033,HDF_HDFC_Infin_033,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16500.0,16500.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_034,HDF_HDFC_Infin_034,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,9600.0,9600.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_035,HDF_HDFC_Infin_035,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15600.0,15600.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_036,HDF_HDFC_Infin_036,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14100.0,14100.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_037,HDF_HDFC_Infin_037,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14200.0,14200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_038,HDF_HDFC_Infin_038,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,10100.0,10100.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_039,HDF_HDFC_Infin_039,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,11100.0,11100.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_040,HDF_HDFC_Infin_040,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14000.0,14000.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus points on utility bills,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_041,HDF_HDFC_Infin_041,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,10900.0,10900.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_042,HDF_HDFC_Infin_042,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16500.0,16500.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_043,HDF_HDFC_Infin_043,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,12700.0,12700.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_044,HDF_HDFC_Infin_044,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,12300.0,12300.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_045,HDF_HDFC_Infin_045,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15200.0,15200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_046,HDF_HDFC_Infin_046,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,12700.0,12700.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_047,HDF_HDFC_Infin_047,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,17200.0,17200.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_048,HDF_HDFC_Infin_048,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,15900.0,15900.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Extra miles on travel portals,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_049,HDF_HDFC_Infin_049,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16400.0,16400.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_050,HDF_HDFC_Infin_050,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,16700.0,16700.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Enhanced cashback weekends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_051,HDF_HDFC_Infin_051,True
HDFC Bank,HDFC Infinia Metal Credit Card,Super Premium / Travel & lifestyle,14100.0,14100.0,"Renewal fee waiver on ₹5,00,000 annual spend (approx., check latest)","Frequent travellers, high-spend users wanting premium rewards",Base reward rate around 3.3%; up to 10X rewards via SmartBuy; strong travel & lifestyle benefits | Bonus on grocery spends,Unlimited domestic & international lounge access via Priority Pass/Diners,,1Finance elite travel cards comparison,VAR_052,HDF_HDFC_Infin_052,True
